timestamp,readableTimestamp,moonRug10,moonRug20,moonRug50,moonRug100,equalWeight10,equalWeight20,equalWeight50,equalWeight100,squareRoot10,squareRoot20,squareRoot50,squareRoot100,moonRug10_cap20p,moonRug20_cap10p,moonRug20_cap20p,moonRug50_cap5p,moonRug50_cap10p,moonRug50_cap20p,moonRug100_cap5p,moonRug100_cap10p,moonRug100_cap20p
1614211200000,"2/25/2021, 12:00:00 AM",1.99292366,2.01067998,2.05261249,2.11236748,2.69388445,2.52883836,2.71830897,3.36126166,2.39283344,2.38843686,2.52041525,2.86287552,2.62848099,2.71269749,2.52912169,2.66209835,2.6940862,2.51228224,2.86097845,2.80015956,2.59183726
1614297600000,"2/26/2021, 12:00:00 AM",1.88520728,1.89979467,1.94019441,1.99451951,2.57451554,2.37412463,2.57154774,3.15884186,2.28145137,2.2610695,2.38865905,2.69906634,2.52114011,2.58369923,2.41139531,2.5242351,2.5785906,2.38777211,2.70472203,2.66695901,2.45404842
1614384000000,"2/27/2021, 12:00:00 AM",1.87624859,1.89329242,1.932101,1.98226588,2.56725128,2.38046671,2.55570108,3.10625988,2.275323,2.26297196,2.37986613,2.66719929,2.51205371,2.59397744,2.40830148,2.52112356,2.57351555,2.38014529,2.68561741,2.64972114,2.43729948
1614470400000,"2/28/2021, 12:00:00 AM",1.89652546,1.91551455,1.95667075,2.0060118,2.63927809,2.45024378,2.61771266,3.13644214,2.32197509,2.3129682,2.43190925,2.70579876,2.56247121,2.65843845,2.45547866,2.5825238,2.63309738,2.42489928,2.73687354,2.70018654,2.47629791
1614556800000,"3/1/2021, 12:00:00 AM",1.83957463,1.8584353,1.89688623,1.9421778,2.55504908,2.37978492,2.52808194,2.99851422,2.25582625,2.24824535,2.35529909,2.60410494,2.4983773,2.58732799,2.39243539,2.49973371,2.56434326,2.35769829,2.64209567,2.61939831,2.4016853
1614643200000,"3/2/2021, 12:00:00 AM",2.01426579,2.03252465,2.0749083,2.12949965,2.75595644,2.56651402,2.75848781,3.3296192,2.44754483,2.43533156,2.563467,2.86832531,2.71415178,2.78941483,2.59758373,2.70955177,2.77761732,2.56585157,2.88856735,2.85908234,2.62695033
1614729600000,"3/3/2021, 12:00:00 AM",1.96660022,1.98902633,2.0354454,2.09120411,2.72013667,2.55975323,2.75835488,3.33940917,2.40197566,2.40603188,2.54596275,2.85491827,2.66343067,2.75522888,2.55367517,2.69881937,2.74778075,2.52650432,2.86968661,2.82862218,2.58713539
1614816000000,"3/4/2021, 12:00:00 AM",2.03557786,2.05644484,2.10567461,2.16767212,2.79097722,2.62383907,2.8526019,3.50669313,2.46934726,2.46959414,2.62603896,2.9749529,2.73130151,2.81511255,2.62045497,2.7768696,2.81718568,2.60230698,2.97088131,2.91706102,2.67721349
1614902400000,"3/5/2021, 12:00:00 AM",1.97162273,1.99552357,2.04568352,2.10894722,2.71415733,2.57400059,2.79774934,3.45975526,2.4002163,2.41242794,2.56921258,2.92213549,2.66019373,2.7555981,2.55725028,2.72315696,2.75402054,2.5402779,2.91737165,2.85584499,2.61664624
1614988800000,"3/6/2021, 12:00:00 AM",1.95898545,1.98168111,2.03170286,2.09452498,2.66889511,2.53046432,2.76873292,3.43468687,2.36712686,2.37851018,2.54097781,2.89602306,2.61467117,2.70940766,2.51776427,2.69034749,2.71244728,2.507709,2.88501867,2.81773122,2.58667196
1615075200000,"3/7/2021, 12:00:00 AM",2.00572927,2.02912372,2.07827307,2.14077092,2.8057794,2.62600349,2.83325992,3.49173889,2.44768077,2.45353895,2.60446839,2.95434187,2.68466773,2.7836255,2.58914766,2.7696775,2.77301193,2.57698376,2.9518432,2.87707802,2.65503332
1615161600000,"3/8/2021, 12:00:00 AM",2.08553955,2.1075123,2.15703244,2.21906453,2.92954692,2.71874983,2.92656088,3.58495114,2.54736228,2.5438501,2.69520747,3.04383753,2.78768899,2.88429411,2.68408731,2.87036225,2.87074413,2.66990855,3.05082238,2.97297121,2.74657886
1615248000000,"3/9/2021, 12:00:00 AM",2.13221597,2.15626318,2.20557448,2.27312818,2.97036995,2.78447065,2.98017916,3.69344671,2.58932414,2.59664487,2.74589263,3.12578582,2.82600331,2.92491147,2.73235481,2.92097197,2.90991285,2.72222227,3.11818062,3.03023103,2.8124609
1615334400000,"3/10/2021, 12:00:00 AM",2.22326957,2.24562833,2.30637591,2.38365922,3.10188252,2.89001812,3.17880175,3.9534577,2.70388205,2.7010749,2.90087704,3.32468994,2.947762,3.06092756,2.8427496,3.0780055,3.05825471,2.8487339,3.30415288,3.19630461,2.95227132
1615420800000,"3/11/2021, 12:00:00 AM",2.22158861,2.24183369,2.29885134,2.37474673,3.01658082,2.82297552,3.13028515,3.90592089,2.65749485,2.65558035,2.85669926,3.28332495,2.89362965,2.99345288,2.79357458,3.0157414,3.00286168,2.80351192,3.24940203,3.14733256,2.91186509
1615507200000,"3/12/2021, 12:00:00 AM",2.25831231,2.27748193,2.33405146,2.41719654,3.01216328,2.83055494,3.15469474,3.9872256,2.66896684,2.66897426,2.87736408,3.34403543,2.89179386,2.99292059,2.79869342,3.02911715,3.00668703,2.8171614,3.29459808,3.17845925,2.94599056
1615593600000,"3/13/2021, 12:00:00 AM",2.21962371,2.2392371,2.29718716,2.38220901,2.94681463,2.78321344,3.13075958,3.97027982,2.60952139,2.61652474,2.83837333,3.31440623,2.817516,2.91941642,2.73261423,2.98435909,2.94653658,2.76088949,3.25108196,3.12739078,2.89653014
1615680000000,"3/14/2021, 12:00:00 AM",2.36664328,2.38591552,2.44326387,2.53500422,3.09033471,2.92661396,3.28397627,4.24404849,2.75640022,2.76262674,2.98722279,3.51940267,2.9692633,3.06667972,2.88529335,3.13128136,3.09423139,2.91685236,3.43035168,3.30035845,3.07144765
1615766400000,"3/15/2021, 12:00:00 AM",2.29915776,2.32072167,2.38030086,2.47247326,2.99862319,2.86737169,3.23843512,4.18849382,2.67879015,2.69749864,2.93180883,3.46116417,2.89270621,2.99403169,2.81611576,3.07106305,3.03220095,2.85209744,3.36660913,3.23702442,3.00571504
1615852800000,"3/16/2021, 12:00:00 AM",2.19252723,2.21655268,2.28118305,2.37883626,2.88706462,2.78915676,3.178159,4.1440271,2.57370339,2.60387317,2.85416898,3.39852439,2.79146505,2.89668658,2.71900861,2.99076229,2.94686549,2.76156336,3.29414375,3.15893442,2.92061506
1615939200000,"3/17/2021, 12:00:00 AM",2.23978093,2.26694546,2.33034845,2.42651805,2.9976627,2.8947539,3.2365339,4.19278463,2.66273564,2.69628786,2.92524928,3.45758787,2.91355585,3.02298488,2.82729611,3.07801054,3.05863284,2.84763747,3.37528128,3.25376372,2.99398563
1616025600000,"3/18/2021, 12:00:00 AM",2.31625856,2.34312226,2.40976817,2.5120136,3.12338416,2.9976975,3.35529584,4.36445668,2.75810151,2.78739585,3.0282684,3.59225248,3.00266806,3.12892384,2.91251614,3.19062446,3.15775485,2.93603354,3.50491869,3.36620693,3.0923726
1616112000000,"3/19/2021, 12:00:00 AM",2.26562962,2.29647176,2.36534094,2.47189933,3.03402669,2.96749639,3.32996793,4.37849813,2.68841265,2.7399567,2.98979204,3.57614563,2.9315867,3.06349877,2.854307,3.14622392,3.10529222,2.88443338,3.46923292,3.32566975,3.04971653
1616198400000,"3/20/2021, 12:00:00 AM",2.30143084,2.334374,2.40448495,2.52758448,3.1227087,3.05085271,3.39212235,4.59118755,2.75482966,2.8084023,3.05193084,3.72079908,3.01245643,3.1502144,2.92881235,3.22065865,3.18378306,2.95081302,3.59365283,3.4393692,3.14250263
1616284800000,"3/21/2021, 12:00:00 AM",2.30360675,2.33872396,2.40660562,2.53021856,3.12948766,3.06841471,3.38132035,4.60073987,2.75690988,2.81840981,3.04937477,3.72587544,3.00790591,3.16048109,2.93120423,3.22546373,3.18033796,2.94938653,3.6027703,3.43914163,3.14348929
1616371200000,"3/22/2021, 12:00:00 AM",2.27149956,2.31094607,2.37979987,2.50769573,3.09411986,3.06780001,3.3748103,4.608235,2.72184732,2.80089499,3.03312477,3.72271849,2.96740542,3.13629745,2.90217068,3.21223053,3.15483897,2.9215118,3.59435816,3.4217102,3.12166522
1616457600000,"3/23/2021, 12:00:00 AM",2.17995396,2.22082975,2.29052117,2.41180088,3.02537488,2.98654575,3.27683402,4.43865878,2.64316986,2.72063842,2.94613447,3.5923647,2.886274,3.06297454,2.81842823,3.13592583,3.07429388,2.8329212,3.48670416,3.31521788,3.0136142
1616544000000,"3/24/2021, 12:00:00 AM",2.16541061,2.20561237,2.27380789,2.39588438,3.017051,2.96526278,3.24467986,4.42836997,2.62526036,2.69943218,2.9193529,3.574284,2.85798465,3.03321412,2.79131869,3.10749427,3.04404394,2.80500683,3.46192574,3.28883906,2.98860317
1616630400000,"3/25/2021, 12:00:00 AM",2.06475468,2.10599034,2.17144921,2.28792735,2.80486707,2.82717637,3.10692461,4.22134312,2.46819716,2.56259307,2.78208645,3.40625862,2.68446703,2.86031591,2.63901094,2.9489207,2.88136322,2.66096561,3.28998211,3.12098823,2.84068436
